-0.062636 0.059589 0.241925 -0.024243 0.075332 0.262584 0.010653 0.083432 0.270716 0.035854 0.089790 0.263252 0.056832 0.098179 0.257681 0.025691 0.045720 0.236620 0.060892 0.048827 0.218645 0.081395 0.058229 0.206766 0.093659 0.068770 0.196427 0.013606 0.040876 0.212945 0.049855 0.040120 0.186376 0.071117 0.053379 0.173213 0.083029 0.066245 0.165262 -0.000009 0.044345 0.193414 0.031677 0.044644 0.167885 0.050806 0.055885 0.154858 0.060476 0.066929 0.147234 -0.012247 0.052735 0.178152 0.007164 0.057739 0.153267 0.018872 0.065040 0.137271 0.027301 0.072938 0.127666
-0.059788 0.059377 0.239599 -0.018866 0.076028 0.262444 0.014947 0.084042 0.270061 0.038568 0.089155 0.263220 0.060005 0.095905 0.256456 0.030623 0.044958 0.237831 0.066118 0.047129 0.219222 0.086877 0.055656 0.207834 0.099522 0.065344 0.198362 0.017906 0.040804 0.213920 0.054080 0.040468 0.188085 0.074148 0.053823 0.174486 0.085673 0.066816 0.165249 0.004387 0.043669 0.192877 0.035308 0.045837 0.168346 0.054796 0.056737 0.154785 0.065664 0.068054 0.147336 -0.007792 0.051007 0.175625 0.012325 0.056288 0.150872 0.025378 0.063245 0.135547 0.035377 0.071052 0.126945
-0.060607 0.057887 0.238964 -0.017841 0.075304 0.262599 0.015716 0.083610 0.270249 0.038940 0.088566 0.263318 0.060735 0.094284 0.256252 0.031163 0.043311 0.238186 0.067481 0.044388 0.219407 0.087891 0.053488 0.208030 0.100051 0.063465 0.198789 0.017898 0.039154 0.214328 0.053757 0.038575 0.186365 0.073337 0.053792 0.173645 0.084206 0.068055 0.165668 0.003799 0.042071 0.192957 0.035028 0.043771 0.166323 0.053406 0.055704 0.152710 0.063361 0.067536 0.145464 -0.007942 0.049398 0.176179 0.011553 0.054609 0.149756 0.023444 0.062042 0.133392 0.032253 0.070100 0.124059
-0.056243 0.055901 0.242305 -0.012421 0.074765 0.264217 0.018841 0.083835 0.269768 0.039833 0.088739 0.262861 0.061981 0.094507 0.255943 0.035101 0.040875 0.238523 0.069668 0.041831 0.220806 0.089337 0.050882 0.209984 0.101331 0.061288 0.200862 0.021714 0.037480 0.214965 0.056944 0.034824 0.188632 0.076738 0.048880 0.176828 0.088927 0.062365 0.169435 0.007444 0.040126 0.193846 0.036899 0.040613 0.168653 0.055385 0.052176 0.155582 0.065943 0.063912 0.148836 -0.004638 0.046964 0.176891 0.013752 0.051250 0.151280 0.025462 0.058434 0.135441 0.034393 0.066533 0.126435
-0.059381 0.056668 0.238225 -0.016540 0.075507 0.262026 0.015746 0.084051 0.269271 0.037829 0.088199 0.262779 0.060104 0.093157 0.257442 0.032287 0.041278 0.238649 0.068590 0.041869 0.221159 0.089264 0.050249 0.210240 0.101787 0.060374 0.201096 0.020148 0.037407 0.214256 0.056318 0.035210 0.189325 0.076925 0.048378 0.177461 0.089073 0.061563 0.169569 0.006738 0.040211 0.192502 0.037152 0.041025 0.168738 0.056508 0.051540 0.156427 0.067140 0.062822 0.149680 -0.005403 0.047531 0.174934 0.014238 0.051933 0.150962 0.026200 0.058868 0.135897 0.034841 0.066869 0.126881
-0.057666 0.056696 0.241695 -0.014238 0.075936 0.264743 0.018003 0.084866 0.271260 0.040263 0.089456 0.264898 0.062669 0.095002 0.259123 0.034543 0.042138 0.240777 0.070712 0.043601 0.223040 0.091148 0.052186 0.212002 0.103271 0.062574 0.202963 0.022168 0.038410 0.216454 0.058306 0.037188 0.191624 0.078268 0.050997 0.179330 0.089877 0.064896 0.171573 0.008683 0.041111 0.194984 0.039602 0.042047 0.170590 0.059087 0.053111 0.158592 0.069927 0.065222 0.152431 -0.003194 0.048336 0.177924 0.016418 0.053166 0.153408 0.029384 0.060725 0.139324 0.038739 0.069673 0.131737
-0.054438 0.057392 0.243621 -0.011102 0.076947 0.265856 0.019817 0.087355 0.272423 0.040331 0.093609 0.265923 0.061985 0.100601 0.259127 0.038043 0.043102 0.242937 0.073635 0.044642 0.225502 0.093271 0.053753 0.214464 0.104724 0.064637 0.205149 0.025653 0.039231 0.218646 0.061546 0.037127 0.193814 0.081247 0.050872 0.181262 0.092444 0.064724 0.172827 0.011948 0.041654 0.197264 0.041825 0.041910 0.173165 0.061355 0.053097 0.160308 0.072010 0.065340 0.153464 -0.000251 0.048363 0.179772 0.019113 0.052374 0.156267 0.032072 0.060201 0.142242 0.041089 0.069650 0.134938
-0.057694 0.058364 0.242215 -0.014717 0.078773 0.263912 0.017757 0.088044 0.270732 0.040345 0.093304 0.265008 0.062614 0.099013 0.260192 0.035621 0.043868 0.241956 0.073036 0.045264 0.224796 0.093762 0.054145 0.213906 0.105957 0.064526 0.204544 0.023472 0.038543 0.217879 0.060906 0.037605 0.193394 0.081117 0.051098 0.181161 0.092740 0.064492 0.172413 0.010061 0.040677 0.196687 0.041514 0.041446 0.171602 0.060953 0.052353 0.158468 0.071483 0.064191 0.150805 -0.002128 0.047993 0.179355 0.018628 0.051855 0.154842 0.032200 0.059473 0.141021 0.041707 0.068708 0.133750
-0.055005 0.056208 0.243286 -0.011061 0.075743 0.264963 0.020808 0.085142 0.270964 0.042144 0.091181 0.264651 0.064263 0.098228 0.258941 0.039232 0.042755 0.242212 0.074851 0.044444 0.224819 0.094446 0.053252 0.213680 0.106024 0.063617 0.204433 0.026205 0.038265 0.218429 0.062633 0.035652 0.192633 0.082179 0.049064 0.180506 0.093410 0.062287 0.171878 0.011894 0.040193 0.197358 0.042082 0.039990 0.170956 0.060858 0.051031 0.157683 0.071034 0.062890 0.150097 -0.000579 0.046698 0.180448 0.019028 0.050187 0.154929 0.031826 0.058012 0.140288 0.040848 0.067188 0.132402
-0.055002 0.058189 0.243402 -0.011555 0.078676 0.265195 0.020833 0.088107 0.272235 0.042821 0.093426 0.266081 0.064369 0.098376 0.261334 0.038515 0.042810 0.243655 0.075538 0.044229 0.226970 0.095878 0.053033 0.215855 0.107719 0.063353 0.206331 0.026206 0.037491 0.219170 0.064134 0.035453 0.195415 0.084429 0.048522 0.183235 0.095605 0.061903 0.174470 0.012824 0.039500 0.197966 0.044891 0.039201 0.173925 0.064869 0.049739 0.161113 0.075458 0.061406 0.153681 0.000934 0.046660 0.180930 0.021704 0.050352 0.157449 0.035158 0.057898 0.143725 0.044488 0.066961 0.136575
