472.590408 326.349993 388.857727 341.042862 316.241665 348.373775 255.992241 356.699123 194.890366 367.152615 292.240829 278.978090 229.432716 285.858421 194.452190 301.477547 173.524017 320.725107 313.739643 291.472034 255.014019 300.179129 219.463711 324.688339 199.940529 347.046633 333.466415 310.135174 284.844818 319.858103 254.615383 337.844925 240.484734 359.087448 350.464439 329.837666 315.546684 339.293976 293.299999 352.484322 278.000164 366.856384
469.346237 327.968616 383.912811 342.808542 308.142834 347.963791 249.620190 355.401192 191.294212 365.981855 284.722729 276.845512 222.620239 284.478178 186.992340 300.150375 164.759789 319.178724 307.400379 290.081835 250.081272 297.260685 215.665512 320.545177 195.230293 343.295975 326.803513 308.753300 281.598282 320.068073 249.928932 336.040077 231.524200 357.340879 344.182777 327.162123 309.371357 337.239561 286.251564 350.245342 268.365059 365.041094
469.560928 324.449902 381.753616 341.067581 304.025707 345.080309 246.518974 351.861706 188.967457 363.310089 282.768021 273.989954 221.291847 281.439486 186.724091 297.452202 164.559860 315.885744 306.630497 286.679649 250.301247 296.863861 215.587120 322.275524 194.780769 345.971603 327.661934 305.579739 283.320198 321.011782 254.246101 339.153013 237.905731 360.953007 345.674248 323.389950 312.508564 337.040777 292.755985 352.462006 277.838421 368.403454
466.069183 318.111048 378.444366 334.445858 302.846165 337.261448 245.304871 343.102970 187.590752 353.896551 281.250267 267.933626 219.749069 275.388737 184.905548 290.756922 162.384186 308.821507 304.963207 280.269442 247.796135 290.465670 212.498760 315.850039 190.622444 339.187403 325.686340 298.261013 279.387054 312.756443 250.454750 331.074829 233.280506 352.527494 343.147011 315.977983 309.318466 330.087204 290.226288 345.120878 275.788441 360.478535
467.554817 318.361502 383.393631 332.427692 306.556854 337.029076 248.757725 345.200214 190.802193 358.300838 281.997871 267.984381 219.766197 275.148468 184.588337 290.078373 161.633949 308.081818 303.614979 281.860285 246.402130 290.883608 211.653061 314.365311 190.692787 336.776390 323.214035 301.592216 278.162899 314.693327 248.592949 330.536671 232.118816 351.079388 340.771332 320.757980 307.893372 331.864471 287.616882 345.062170 273.028793 359.517288
464.201508 319.858274 379.211426 334.513550 302.697430 339.836140 243.933525 348.470078 185.518150 362.411900 278.566418 268.072157 215.472145 275.762730 179.977570 292.180595 157.362337 312.016582 300.309315 282.296762 242.290630 291.495953 207.995262 316.199570 187.014923 340.009604 319.526749 302.245703 273.830643 314.676332 243.187180 331.124640 225.340538 352.658587 337.083473 321.816187 302.742195 332.152634 280.614834 345.632973 264.405499 360.719948
462.739067 320.149841 377.416840 335.907068 299.674740 342.592363 239.591846 352.315779 180.620308 367.313032 275.617561 266.921425 210.725594 274.563189 174.958572 291.773100 152.411909 312.628269 296.605816 280.225611 237.778606 290.259275 203.286858 316.333580 183.096409 341.918163 315.516777 299.369402 270.120888 312.996569 238.983879 330.612745 220.970688 353.657856 333.320274 318.249664 298.832302 328.728619 276.429024 343.057909 260.600643 359.466906
463.758469 322.249746 377.524681 340.416727 299.757462 346.044731 238.870697 355.542068 178.934422 372.661800 273.827038 270.951977 209.009781 278.594341 173.103638 294.056768 150.248995 312.932911 296.269588 282.083530 237.450180 289.573088 202.847748 313.710022 181.382370 337.422066 315.876408 300.421486 269.981041 312.376499 239.185963 328.504944 221.716919 350.595217 333.721008 319.498844 298.447094 328.151321 274.590855 341.162624 257.621040 356.820946
464.882736 317.511864 377.987709 339.281216 298.768654 345.527802 239.112053 354.346132 179.126472 369.230661 272.156410 268.814621 208.247643 276.716137 173.280258 291.865826 150.538712 310.248842 295.769272 279.206429 236.930275 287.923079 202.929573 312.370434 182.630501 335.995188 316.580772 296.523256 270.696487 310.288696 241.506805 327.191992 225.024719 349.103451 335.275497 314.081697 300.023556 324.273520 278.775749 338.261518 263.453426 354.278870
460.595474 320.986347 372.908478 339.998589 294.811115 345.245676 233.998814 354.315405 173.635788 367.089014 270.177670 267.123613 205.130081 273.734179 169.515762 290.044756 147.914724 310.571365 293.287411 278.365545 233.192463 283.716803 198.673439 307.252350 178.716850 331.651497 313.166885 296.405582 266.093464 305.481234 234.377728 321.241493 216.544952 343.708048 331.280746 315.117617 295.118446 322.763958 271.545715 335.050049 254.523315 350.131960
462.181015 332.397881 366.351700 334.872751 286.254559 329.046335 225.580864 331.289120 164.917412 344.446821 270.714951 276.458445 207.503891 280.490913 170.209694 293.747921 146.664019 312.669668 294.582558 296.877880 236.312294 300.822916 197.934456 321.232309 170.550499 342.472973 315.704670 320.324192 265.667400 327.704601 234.402313 342.999773 213.888779 363.083239 333.224068 343.400087 299.148636 354.540138 278.216114 369.656525 262.081108 386.817284
